id_site;nom_site;type_site;typologie;lib_influence;id_polair;adresse;altitude;coord_x_l93;coord_y_l93;date_ouverture;date_dispo_mesures;date_fermeture;description_site;photo;nouv_typologie
66;Sud lyonnais / Ternay;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;20037;Salle Omnisports du Dévès Chemin du Dévès Ouest 69360 TERNAY;235;840501;6501871;01/10/1985;01/10/1985;;SITE PERIURBAIN AVEC INFLUENCE INDUSTRIELLE;http://carto.air-rhonealpes.fr/photos/photo_66.jpg;Périurbain-Fond
67;Sud lyonnais / Givors;FIXE;proximité industrielle;industrielle                                                                                                                                                                                                                                                   ;20038;Hôtel de ville - place Henri Barbusse     69700 GIVORS;160;838250;6499637;01/10/1985;01/10/1985;27/12/2010;;http://carto.air-rhonealpes.fr/photos/photo_67.jpg;Urbain-Industrielle
68;Saint-Romain en Gal - Les Orlets;FIXE;observation spécifique;spécifique                                                                                                                                                                                                                                                     ;20039;"lieu dit  "" Les Orlets ""     69560 SAINT-ROMAIN-EN-GAL";300;840810;6495957;01/01/1982;01/10/1985;19/05/2003;SITE PERIURBAIN PROCHE RURAL;http://carto.air-rhonealpes.fr/photos/photo_68.jpg;Périurbain-Spécifique
69;Millery;FIXE;proximité industrielle;industrielle                                                                                                                                                                                                                                                   ;20040;La  Tour de Millery   69390 MILLERY;166;840480;6505021;01/01/1986;01/10/1985;27/06/2002;SITE PERIURBAIN AVEC INFLUENCE INDUSTRIELLE;http://carto.air-rhonealpes.fr/photos/photo_69.jpg;Périurbain-Industrielle
70;Chasse Chatanay;FIXE;proximité industrielle;industrielle                                                                                                                                                                                                                                                   ;20041;"Lieu dit  "" CHATANAY""  38670 CHASSE-SUR-RHONE";166;842324;6499390;01/01/1986;01/10/1985;26/06/2002;SITE PERIURBAIN AVEC INFLUENCE INDUSTRIELLE;http://carto.air-rhonealpes.fr/photos/photo_70.jpg;Périurbain-Industrielle
71;Saint-Romain en Gal - Mairie;FIXE;observation spécifique;spécifique                                                                                                                                                                                                                                                     ;20042;Mairie  69560 SAINT-ROMAIN-EN-GAL;150;845058;6494613;01/01/1985;01/10/1985;27/06/2003;;http://carto.air-rhonealpes.fr/photos/photo_71.jpg;Périurbain-Spécifique
72;Vénissieux;FIXE;proximité industrielle;industrielle                                                                                                                                                                                                                                                   ;20043;Groupe scolaire J.MOULIN  rue V.Komarov   69200 VENISSIEUX;215;845969;6511777;01/01/1981;01/01/1985;09/04/2004;;http://carto.air-rhonealpes.fr/photos/photo_72.jpg;Périurbain-Industrielle
73;Neuville;FIXE;observation spécifique;spécifique                                                                                                                                                                                                                                                     ;20044;Place de VERDUN   69205 NEUVILLE-SUR-SAONE;182;842630;6532601;22/03/1994;23/03/1994;05/04/2002;;http://carto.air-rhonealpes.fr/photos/photo_73.jpg;Périurbain-Spécifique
74;Est lyonnais / Genas;FIXE;périurbaine;fond                                                                                                                                                                                                                                                           ;20045;"DDE ""Les Grandes Terres"" - Porte du Dauphiné  69740 GENAS";209;854011;6516631;01/01/1999;01/01/1999;02/01/2019;;http://carto.air-rhonealpes.fr/photos/photo_74.jpg;Périurbain-Fond
75;Est lyonnais / Vaulx en Velin;FIXE;urbaine;fond                                                                                                                                                                                                                                                           ;20046;ENTPE 3 Rue Maurice Audin 69120 VAULX-EN-VELIN;172;849559;6521751;01/02/2004;01/02/2004;;ENTPE - Ecole Nationale des Travaux Publics de l'Etat;http://carto.air-rhonealpes.fr/photos/photo_75.jpg;Urbain-Fond
